"State","District","Crop","Season","Area-2024-25","Production-2024-25","Yield-2024-25"
"Odisha","Jajpur","Nutri/Coarse Cereals","Summer","0.00","0.00","1351.00"
"Odisha","Jajpur","Nutri/Coarse Cereals","Total","0.00","0.00","1351.00"
"Odisha","Jajpur","Cereals","Kharif","1.06","2.17","2040.00"
"Odisha","Jajpur","Cereals","Summer","0.04","0.09","2512.00"
"Odisha","Jajpur","Cereals","Total","1.10","2.26","2056.00"
"Odisha","Jajpur","Moong","Summer","0.07","0.03","433.00"
"Odisha","Jajpur","Moong","Total","0.07","0.03","433.00"
"Odisha","Jajpur","Total Pulses","Total","0.07","0.03","433.00"
"Odisha","Jajpur","Total Food Grains","Kharif","1.06","2.17","2040.00"
"Odisha","Jajpur","Total Food Grains","Summer","0.11","0.13","1147.00"
"Odisha","Jajpur","Total Food Grains","Total","1.17","2.30","1956.00"
"Odisha","Jharsuguda","Rice","Kharif","0.29","0.67","2268.00"
"Odisha","Jharsuguda","Rice","Summer","0.02","0.07","3669.00"
"Odisha","Jharsuguda","Rice","Total","0.31","0.74","2355.00"
"Odisha","Jharsuguda","Maize","Kharif","0.00","0.00","4060.00"
"Odisha","Jharsuguda","Maize","Summer","0.00","0.00","3910.00"
"Odisha","Jharsuguda","Maize","Total","0.00","0.00","4055.00"
"Odisha","Jharsuguda","Ragi","Kharif","0.01","0.00","630.00"
"Odisha","Jharsuguda","Ragi","Total","0.01","0.00","630.00"
"Odisha","Jharsuguda","Shree Anna /Nutri Cereals","Kharif","0.01","0.00","630.00"
"Odisha","Jharsuguda","Shree Anna /Nutri Cereals","Total","0.01","0.00","630.00"
"Odisha","Jharsuguda","Nutri/Coarse Cereals","Kharif","0.01","0.01","1076.00"
"Odisha","Jharsuguda","Nutri/Coarse Cereals","Summer","0.00","0.00","3910.00"
"Odisha","Jharsuguda","Nutri/Coarse Cereals","Total","0.01","0.01","1089.00"
"Odisha","Jharsuguda","Cereals","Kharif","0.30","0.68","2243.00"
"Odisha","Jharsuguda","Cereals","Summer","0.02","0.07","3670.00"
"Odisha","Jharsuguda","Cereals","Total","0.32","0.75","2330.00"
"Odisha","Jharsuguda","Moong","Summer","0.02","0.01","536.00"
"Odisha","Jharsuguda","Moong","Total","0.02","0.01","536.00"
"Odisha","Jharsuguda","Total Pulses","Total","0.02","0.01","536.00"
"Odisha","Jharsuguda","Total Food Grains","Kharif","0.30","0.68","2243.00"
"Odisha","Jharsuguda","Total Food Grains","Summer","0.04","0.08","2226.00"
"Odisha","Jharsuguda","Total Food Grains","Total","0.34","0.76","2242.00"
"Odisha","Kalahandi","Rice","Kharif","1.93","4.99","2583.00"
"Odisha","Kalahandi","Rice","Summer","0.56","1.88","3347.00"
"Odisha","Kalahandi","Rice","Total","2.49","6.87","2755.00"
"Odisha","Kalahandi","Maize","Kharif","0.02","0.04","1966.00"
"Odisha","Kalahandi","Maize","Summer","0.00","0.00","1819.00"
"Odisha","Kalahandi","Maize","Total","0.02","0.04","1963.00"
"Odisha","Kalahandi","Ragi","Kharif","0.02","0.01","450.00"
"Odisha","Kalahandi","Ragi","Total","0.02","0.01","450.00"
"Odisha","Kalahandi","Shree Anna /Nutri Cereals","Kharif","0.02","0.01","450.00"
"Odisha","Kalahandi","Shree Anna /Nutri Cereals","Total","0.02","0.01","450.00"
"Odisha","Kalahandi","Nutri/Coarse Cereals","Kharif","0.03","0.04","1296.00"
"Odisha","Kalahandi","Nutri/Coarse Cereals","Summer","0.00","0.00","1819.00"
"Odisha","Kalahandi","Nutri/Coarse Cereals","Total","0.03","0.05","1302.00"
"Odisha","Kalahandi","Cereals","Kharif","1.97","5.04","2561.00"
"Odisha","Kalahandi","Cereals","Summer","0.56","1.88","3346.00"
"Odisha","Kalahandi","Cereals","Total","2.53","6.92","2735.00"
"Odisha","Kalahandi","Moong","Summer","0.17","0.11","639.00"
"Odisha","Kalahandi","Moong","Total","0.17","0.11","639.00"
"Odisha","Kalahandi","Total Pulses","Total","0.17","0.11","639.00"
"Odisha","Kalahandi","Total Food Grains","Kharif","1.97","5.04","2561.00"
"Odisha","Kalahandi","Total Food Grains","Summer","0.74","1.99","2706.00"
"Odisha","Kalahandi","Total Food Grains","Total","2.70","7.03","2600.00"
"Odisha","Kandhamal","Rice","Kharif","0.42","0.64","1539.00"
"Odisha","Kandhamal","Rice","Summer","0.00","0.01","1975.00"
"Odisha","Kandhamal","Rice","Total","0.42","0.65","1543.00"
"Odisha","Kandhamal","Maize","Kharif","0.02","0.03","1676.00"
"Odisha","Kandhamal","Maize","Summer","0.00","0.00","2098.00"
"Odisha","Kandhamal","Maize","Total","0.02","0.03","1680.00"
"Odisha","Kandhamal","Ragi","Kharif","0.01","0.00","647.00"
"Odisha","Kandhamal","Ragi","Total","0.01","0.00","647.00"
"Odisha","Kandhamal","Shree Anna /Nutri Cereals","Kharif","0.01","0.00","647.00"
"Odisha","Kandhamal","Shree Anna /Nutri Cereals","Total","0.01","0.00","647.00"
"Odisha","Kandhamal","Nutri/Coarse Cereals","Kharif","0.02","0.03","1441.00"
"Odisha","Kandhamal","Nutri/Coarse Cereals","Summer","0.00","0.00","2098.00"
"Odisha","Kandhamal","Nutri/Coarse Cereals","Total","0.02","0.03","1446.00"
"Odisha","Kandhamal","Cereals","Kharif","0.44","0.67","1534.00"
"Odisha","Kandhamal","Cereals","Summer","0.00","0.01","1979.00"
"Odisha","Kandhamal","Cereals","Total","0.44","0.68","1538.00"
"Odisha","Kandhamal","Moong","Summer","0.00","0.00","198.00"
"Odisha","Kandhamal","Moong","Total","0.00","0.00","198.00"
"Odisha","Kandhamal","Total Pulses","Total","0.00","0.00","198.00"
"Odisha","Kandhamal","Total Food Grains","Kharif","0.44","0.67","1534.00"
"Odisha","Kandhamal","Total Food Grains","Summer","0.00","0.01","1971.00"
"Odisha","Kandhamal","Total Food Grains","Total","0.44","0.68","1538.00"
"Odisha","Kendrapara","Rice","Kharif","1.23","2.54","2066.00"
"Odisha","Kendrapara","Rice","Summer","0.02","0.07","3081.00"
"Odisha","Kendrapara","Rice","Total","1.25","2.61","2083.00"
"Odisha","Kendrapara","Ragi","Kharif","0.00","0.00","384.00"
"Odisha","Kendrapara","Ragi","Total","0.00","0.00","384.00"
"Odisha","Kendrapara","Shree Anna /Nutri Cereals","Kharif","0.00","0.00","384.00"
"Odisha","Kendrapara","Shree Anna /Nutri Cereals","Total","0.00","0.00","384.00"
"Odisha","Kendrapara","Nutri/Coarse Cereals","Kharif","0.00","0.00","384.00"
"Odisha","Kendrapara","Nutri/Coarse Cereals","Total","0.00","0.00","384.00"
"Odisha","Kendrapara","Cereals","Kharif","1.23","2.54","2066.00"
"Odisha","Kendrapara","Cereals","Summer","0.02","0.07","3081.00"
"Odisha","Kendrapara","Cereals","Total","1.25","2.61","2083.00"
"Odisha","Kendrapara","Moong","Summer","0.34","0.16","473.00"
"Odisha","Kendrapara","Moong","Total","0.34","0.16","473.00"
"Odisha","Kendrapara","Total Pulses","Total","0.34","0.16","473.00"
"Odisha","Kendrapara","Total Food Grains","Kharif","1.23","2.54","2066.00"
"Odisha","Kendrapara","Total Food Grains","Summer","0.36","0.22","626.00"
"Odisha","Kendrapara","Total Food Grains","Total","1.59","2.77","1741.00"
"Odisha","Keonjhar","Rice","Kharif","1.72","4.56","2647.00"
"Odisha","Keonjhar","Rice","Summer","0.01","0.03","2041.00"
"Odisha","Keonjhar","Rice","Total","1.74","4.59","2643.00"
"Odisha","Keonjhar","Maize","Kharif","0.01","0.05","3731.00"
"Odisha","Keonjhar","Maize","Summer","0.00","0.00","2972.00"
"Odisha","Keonjhar","Maize","Total","0.01","0.05","3724.00"
"Odisha","Keonjhar","Ragi","Kharif","0.00","0.00","571.00"
"Odisha","Keonjhar","Ragi","Total","0.00","0.00","571.00"
"Odisha","Keonjhar","Shree Anna /Nutri Cereals","Kharif","0.00","0.00","571.00"
"Odisha","Keonjhar","Shree Anna /Nutri Cereals","Total","0.00","0.00","571.00"
"Odisha","Keonjhar","Nutri/Coarse Cereals","Kharif","0.02","0.05","3181.00"
"Odisha","Keonjhar","Nutri/Coarse Cereals","Summer","0.00","0.00","2972.00"
"Odisha","Keonjhar","Nutri/Coarse Cereals","Total","0.02","0.05","3180.00"
"Odisha","Keonjhar","Cereals","Kharif","1.74","4.61","2652.00"
"Odisha","Keonjhar","Cereals","Summer","0.01","0.03","2050.00"
"Odisha","Keonjhar","Cereals","Total","1.75","4.64","2648.00"
"Odisha","Keonjhar","Moong","Summer","0.01","0.01","631.00"
"Odisha","Keonjhar","Moong","Total","0.01","0.01","631.00"
"Odisha","Keonjhar","Total Pulses","Total","0.01","0.01","631.00"
"Odisha","Keonjhar","Total Food Grains","Kharif","1.74","4.61","2652.00"
"Odisha","Keonjhar","Total Food Grains","Summer","0.03","0.04","1343.00"
"Odisha","Keonjhar","Total Food Grains","Total","1.76","4.64","2633.00"
"Odisha","Khordha","Rice","Kharif","0.86","2.29","2647.00"
"Odisha","Khordha","Rice","Summer","0.02","0.06","3471.00"
"Odisha","Khordha","Rice","Total","0.88","2.35","2663.00"
"Odisha","Khordha","Maize","Kharif","0.00","0.00","2300.00"
"Odisha","Khordha","Maize","Summer","0.00","0.00","2088.00"
"Odisha","Khordha","Maize","Total","0.00","0.00","2112.00"
"Odisha","Khordha","Ragi","Kharif","0.00","0.00","526.00"
"Odisha","Khordha","Ragi","Total","0.00","0.00","526.00"
"Odisha","Khordha","Shree Anna /Nutri Cereals","Kharif","0.00","0.00","526.00"
"Odisha","Khordha","Shree Anna /Nutri Cereals","Total","0.00","0.00","526.00"
"Odisha","Khordha","Nutri/Coarse Cereals","Kharif","0.00","0.00","657.00"
"Odisha","Khordha","Nutri/Coarse Cereals","Summer","0.00","0.00","2088.00"
"Odisha","Khordha","Nutri/Coarse Cereals","Total","0.00","0.00","1188.00"
"Odisha","Khordha","Cereals","Kharif","0.86","2.29","2646.00"
"Odisha","Khordha","Cereals","Summer","0.02","0.06","3464.00"
"Odisha","Khordha","Cereals","Total","0.88","2.35","2663.00"
"Odisha","Khordha","Moong","Summer","0.13","0.07","519.00"
"Odisha","Khordha","Moong","Total","0.13","0.07","519.00"
